,Company,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain,Issue type
97,Ashapura Logistics,70.0,94.9,06 Aug `24,52.7 Cr,₹ 144,68.2x,385.3x,231.4x,172.9x,185.0,175.8,28.5%,-51.4%,SME
98,Kizi Apparels,17.7,13.8,06 Aug `24,5.6 Cr,₹ 21,-,86.9x,132.4x,109.7x,23.1,24.3,10.2%,-15.7%,SME
99,S A Tech Software,57.0,74.5,02 Aug `24,23.0 Cr,₹ 59,103.4x,1518.1x,798.3x,558.9x,112.1,117.7,90.0%,-3.3%,SME
100,Esprit Stones,101.0,221.6,02 Aug `24,50.4 Cr,₹ 87,60.5x,514.3x,187.4x,173.0x,93.2,97.8,7.1%,16.1%,SME
101,Aprameya Engineering,165.0,314.2,01 Aug `24,29.2 Cr,₹ 58,48.0x,451.8x,249.5x,179.1x,72.0,75.6,24.1%,184.5%,SME
102,Clinitech Laboratory,31.4,7.2,01 Aug `24,5.8 Cr,₹ 96,-,24.4x,49.6x,37.0x,115.0,120.8,19.8%,-67.3%,SME
103,Trom Industries,103.5,95.2,01 Aug `24,31.4 Cr,₹ 115,104.7x,1000.4x,651.1x,430.3x,218.5,229.4,90.0%,-10.0%,SME
104,Chetana Education,85.0,173.4,31 Jul `24,45.9 Cr,₹ 85,53.7x,622.4x,179.3x,183.0x,98.9,103.8,16.4%,0.0%,SME
105,Manglam Infra,21.4,37.7,31 Jul `24,27.6 Cr,₹ 56,79.7x,923.4x,454.5x,337.4x,106.4,111.7,90.0%,-61.8%,SME
106,V L Infraprojects,42.0,66.1,30 Jul `24,18.5 Cr,₹ 42,107.5x,961.0x,1114.5x,588.0x,79.8,83.8,90.0%,0.1%,SME
107,VVIP Infratech,177.0,442.0,30 Jul `24,61.2 Cr,₹ 93,168.4x,335.9x,181.7x,220.0x,176.7,185.5,90.0%,90.3%,SME
108,RNFI Services,255.6,637.8,29 Jul `24,70.8 Cr,₹ 105,74.0x,678.5x,210.8x,212.6x,199.5,189.6,90.0%,143.4%,SME
109,SAR Televenture,219.0,1031.7,29 Jul `24,150.0 Cr,₹ 210,4.4x,15.3x,9.9x,8.0x,225.1,232.6,7.2%,4.3%,SME
110,Macobs Technologies,167.5,164.1,24 Jul `24,19.5 Cr,₹ 75,40.8x,305.5x,202.5x,190.1x,96.0,100.8,28.0%,123.3%,SME
111,Kataria Industries,103.1,222.0,24 Jul `24,54.6 Cr,₹ 96,90.9x,1286.9x,364.5x,366.1x,182.4,191.5,90.0%,7.4%,SME
112,Tunwal E-Motors,29.9,172.2,23 Jul `24,115.6 Cr,₹ 59,-,7.3x,15.8x,11.6x,64.0,60.8,8.5%,-49.4%,SME
113,Prizor Viztech,239.4,255.9,22 Jul `24,25.1 Cr,₹ 87,49.5x,372.4x,354.9x,204.9x,165.3,0.0,90.0%,175.2%,SME
114,Three M Paper Boards,45.6,87.8,22 Jul `24,39.8 Cr,₹ 69,79.4x,210.8x,175.2x,159.4x,76.0,79.8,10.1%,-33.9%,SME
115,Sati Poly Plast,92.5,45.8,22 Jul `24,17.4 Cr,₹ 130,77.3x,755.1x,887.9x,462.7x,247.0,0.0,90.0%,-28.9%,SME
116,Aelea Commodities,177.1,360.6,22 Jul `24,51.0 Cr,₹ 95,104.2x,288.8x,164.9x,182.2x,165.0,173.3,73.7%,86.4%,SME
117,Sahaj Solar,241.1,529.6,19 Jul `24,52.6 Cr,₹ 180,112.5x,1132.8x,702.2x,472.0x,342.0,359.1,90.0%,167.8%,SME
118,Ganesh Green Bharat,496.0,1230.1,12 Jul `24,125.2 Cr,₹ 190,80.8x,616.3x,231.5x,213.9x,361.0,379.1,90.0%,161.1%,SME
119,Effwa Infra & Research,235.1,544.2,12 Jul `24,51.3 Cr,₹ 82,86.4x,650.4x,429.6x,291.1x,155.8,163.6,90.0%,186.7%,SME
120,Ambey Laboratories,43.1,107.5,11 Jul `24,44.7 Cr,₹ 68,33.0x,279.0x,258.9x,148.9x,85.0,89.3,25.0%,-36.6%,SME
121,Nephro Care,139.9,230.7,05 Jul `24,41.3 Cr,₹ 90,121.0x,2214.8x,782.4x,666.6x,171.0,179.6,90.0%,55.5%,SME
122,Diensten Tech,146.0,120.6,03 Jul `24,22.1 Cr,₹ 100,5.1x,206.8x,47.6x,50.2x,240.0,252.0,140.0%,46.0%,SME
123,Akiko Global ,93.0,100.2,02 Jul `24,23.1 Cr,₹ 77,6.2x,65.0x,63.9x,35.2x,98.0,93.3,27.3%,20.8%,SME
124,Petro Carbon ,175.1,432.4,02 Jul `24,113.2 Cr,₹ 171,49.1x,169.5x,96.7x,83.8x,300.0,315.0,75.4%,2.4%,SME
125,Divine Power Energy,137.0,294.1,02 Jul `24,22.8 Cr,₹ 40,73.1x,632.9x,678.8x,369.1x,155.0,152.3,287.5%,242.5%,SME
126,Shivalic Power ,115.7,278.9,01 Jul `24,64.3 Cr,₹ 100,90.2x,578.5x,305.0x,238.6x,311.0,326.6,211.0%,15.7%,SME
127,Sylvan Plyboard,84.0,162.7,01 Jul `24,28.1 Cr,₹ 55,-,72.2x,84.8x,78.5x,66.0,69.3,20.0%,52.6%,SME
128,Mason Infratech,203.6,357.7,01 Jul `24,30.5 Cr,₹ 64,4.2x,67.3x,48.6x,30.7x,88.0,92.4,37.5%,218.1%,SME
129,Visaman Global Sales,89.1,123.1,01 Jul `24,16.1 Cr,₹ 43,-,22.3x,48.9x,37.9x,45.1,47.4,4.9%,107.2%,SME
130,Medicamen Organics,43.7,51.1,28 Jun `24,10.5 Cr,₹ 34,90.9x,1773.0x,1729.8x,916.8x,137.8,144.7,305.4%,28.5%,SME
131,Dindigul Farm ,22.5,55.1,27 Jun `24,34.8 Cr,₹ 54,145.6x,207.1x,201.4x,188.1x,102.6,107.7,90.0%,-58.3%,SME
132,Winny Immigration,100.0,21.7,27 Jun `24,9.1 Cr,₹ 140,-,95.5x,180.7x,142.4x,240.0,252.0,71.4%,-28.5%,SME
133,Durlax Top Surface,45.9,76.3,26 Jun `24,40.8 Cr,₹ 68,40.2x,438.8x,214.3x,160.9x,109.0,103.5,60.3%,-32.5%,SME
134,GEM Enviro Mgmt,68.3,153.9,26 Jun `24,44.9 Cr,₹ 75,160.2x,330.0x,240.3x,244.1x,142.5,149.6,90.0%,-9.0%,SME
135,Falcon Technoprojects,17.8,9.5,26 Jun `24,13.7 Cr,₹ 92,-,43.1x,83.2x,63.2x,84.0,88.2,-8.7%,-80.7%,SME
136,United Cotfab,29.5,50.7,24 Jun `24,36.3 Cr,₹ 70,-,130.3x,73.3x,101.8x,75.0,78.8,7.1%,-57.9%,SME
137,GP Eco Solutions,560.0,662.5,24 Jun `24,30.8 Cr,₹ 94,116.5x,2258.4x,977.4x,739.1x,375.0,393.8,298.9%,495.7%,SME
138,Sattrix Information ,179.9,122.4,12 Jun `24,21.8 Cr,₹ 121,-,98.0x,35.8x,66.9x,150.0,157.5,24.0%,48.7%,SME
139,3C IT Sol & Telecom,23.5,14.1,12 Jun `24,11.4 Cr,₹ 52,-,10.2x,28.3x,19.2x,43.0,45.2,-17.3%,-54.8%,SME
140,Magenta Lifecare,14.5,9.9,12 Jun `24,7.0 Cr,₹ 35,-,1126.3x,737.9x,932.1x,45.0,47.3,28.6%,-58.6%,SME
141,TBI Corn,112.8,204.9,07 Jun `24,44.9 Cr,₹ 94,43.2x,686.2x,258.6x,215.1x,198.0,207.9,110.6%,20.1%,SME
142,Aimtron Electronics,733.8,1497.9,06 Jun `24,87.0 Cr,₹ 161,37.0x,269.1x,94.9x,92.1x,241.0,253.1,49.7%,355.8%,SME
143,Associated Coaters,92.6,12.5,06 Jun `24,5.1 Cr,₹ 121,-,208.9x,417.6x,313.3x,142.0,134.9,17.4%,-23.5%,SME
144,Z-Tech,575.0,824.0,05 Jun `24,37.3 Cr,₹ 110,65.4x,1106.5x,419.2x,345.4x,100.0,105.0,-9.1%,422.7%,SME
145,Beacon Trusteeship,56.0,101.2,04 Jun `24,32.5 Cr,₹ 60,87.0x,1038.6x,671.7x,434.4x,90.0,94.5,50.0%,-6.7%,SME
146,Vilas Transcore,533.0,1304.8,03 Jun `24,95.3 Cr,₹ 147,60.9x,599.4x,214.0x,195.3x,215.0,225.8,46.3%,262.6%,SME
147,GSM Foils,206.0,263.9,31 May `24,11.0 Cr,₹ 32,-,246.3x,234.5x,240.4x,32.0,33.6,0.0%,543.8%,SME
148,HOAC Foods,213.7,92.8,24 May `24,5.5 Cr,₹ 48,-,1317.4x,2350.6x,1834.0x,147.0,139.7,206.3%,345.2%,SME
149,Rulka Electricals,140.0,59.6,24 May `24,26.4 Cr,₹ 235,108.5x,1794.0x,874.5x,629.4x,525.0,498.8,123.4%,-40.4%,SME
150,Quest Laboratories,112.0,183.5,23 May `24,43.2 Cr,₹ 97,29.6x,250.7x,76.8x,79.3x,155.1,147.3,59.9%,15.5%,SME
151,Indian Emulsifiers,147.5,180.3,22 May `24,42.4 Cr,₹ 132,93.3x,1039.5x,643.9x,427.9x,430.0,451.5,225.8%,11.7%,SME
152,ABS Marine Services,204.0,500.8,21 May `24,96.3 Cr,₹ 147,57.0x,354.6x,146.9x,133.1x,294.0,279.3,100.0%,38.8%,SME
153,Veritaas Advertising,86.6,24.4,21 May `24,8.5 Cr,₹ 114,64.1x,781.3x,1227.8x,581.4x,275.0,261.3,141.2%,-24.0%,SME
154,Mandeep Auto ,26.1,26.9,21 May `24,25.3 Cr,₹ 67,-,58.5x,86.0x,72.3x,62.3,65.3,-7.1%,-61.1%,SME
155,Premier Roadlines,86.5,197.8,17 May `24,40.4 Cr,₹ 67,47.8x,239.7x,141.5x,109.3x,87.0,91.3,29.9%,29.1%,SME
156,Aztec Fluids & Machinery,83.3,113.2,17 May `24,24.1 Cr,₹ 67,107.9x,252.8x,228.4x,203.0x,90.0,85.5,34.3%,24.3%,SME
157,Piotex Industries,62.2,31.8,17 May `24,14.5 Cr,₹ 94,-,115.5x,88.6x,102.0x,109.0,114.3,16.0%,-33.8%,SME
158,Energy-Mission ,214.6,243.1,16 May `24,41.1 Cr,₹ 138,85.9x,804.4x,384.5x,298.2x,366.0,384.3,165.2%,55.5%,SME
159,Silkflex Polymers,90.0,104.5,15 May `24,18.1 Cr,₹ 52,-,34.6x,31.1x,32.8x,60.0,58.7,15.4%,73.1%,SME
160,TGIF Agribusiness,93.5,24.2,15 May `24,6.4 Cr,₹ 93,-,29.2x,35.3x,35.1x,150.0,142.5,61.3%,0.5%,SME
161,Refractory Shapes,54.9,119.7,14 May `24,18.6 Cr,₹ 31,48.2x,616.8x,344.2x,237.1x,75.0,78.8,141.9%,77.1%,SME
162,Winsol Engineers,215.7,248.8,14 May `24,23.4 Cr,₹ 75,110.2x,1447.0x,1038.7x,635.7x,365.0,383.3,386.7%,187.6%,SME
163,Finelistings Tech,33.4,12.2,14 May `24,13.5 Cr,₹ 123,-,34.1x,36.9x,35.5x,127.0,133.3,3.3%,-72.8%,SME
164,Slone Infosystems,320.0,168.6,10 May `24,11.1 Cr,₹ 79,-,718.1x,514.2x,616.1x,118.5,112.6,50.0%,305.1%,SME
165,Storage Technologies,83.5,107.3,08 May `24,29.9 Cr,₹ 78,117.9x,422.8x,242.7x,258.6x,148.2,153.1,90.0%,7.1%,SME
166,Amkay Products,63.9,55.3,08 May `24,12.6 Cr,₹ 55,173.0x,722.0x,973.1x,693.4x,104.5,109.7,90.0%,16.2%,SME
167,Sai Swami Metals ,34.0,42.6,08 May `24,15.0 Cr,₹ 60,-,530.0x,501.9x,515.9x,114.0,119.7,90.0%,-43.3%,SME
168,Varyaa Creations,43.8,21.0,30 Apr `24,20.1 Cr,₹ 150,-,1.1x,5.8x,3.5x,285.0,270.8,90.0%,-70.8%,SME
169,Emmforce Autotech,108.5,222.5,30 Apr `24,53.9 Cr,₹ 98,160.6x,637.7x,267.6x,338.9x,186.2,195.5,90.0%,10.8%,SME
170,Shivam Chemicals,62.0,105.3,30 Apr `24,20.2 Cr,₹ 44,-,4.2x,8.4x,6.3x,48.0,47.4,9.1%,40.9%,SME
171,Faalcon Concepts,43.5,29.7,26 Apr `24,12.1 Cr,₹ 62,-,90.7x,44.8x,67.8x,95.0,90.3,53.2%,-29.8%,SME
172,Grill Splendour Services,131.0,74.1,23 Apr `24,16.5 Cr,₹ 120,-,4.5x,12.1x,8.3x,121.3,127.3,1.1%,9.2%,SME
173,Ramdevbaba Solvent,133.3,304.9,23 Apr `24,50.3 Cr,₹ 85,34.9x,416.4x,105.8x,116.9x,112.0,117.6,31.8%,56.9%,SME
174,Greenhitech Ventures,101.1,47.5,22 Apr `24,6.3 Cr,₹ 50,-,893.2x,566.1x,729.7x,95.0,99.8,90.0%,102.2%,SME
175,DCG Cables & Wires,74.3,134.9,16 Apr `24,50.0 Cr,₹ 100,-,11.1x,20.6x,15.8x,90.0,85.5,-10.0%,-25.7%,SME
176,Teerth Gopicon,135.3,162.3,16 Apr `24,44.4 Cr,₹ 111,-,92.4x,42.1x,67.2x,125.0,131.3,12.6%,21.9%,SME
177,Aluwind Architectural,76.3,189.6,09 Apr `24,29.7 Cr,₹ 45,-,5.1x,10.2x,7.6x,45.0,47.3,0.0%,69.6%,SME
178,Creative Graphics ,210.9,512.3,09 Apr `24,54.4 Cr,₹ 85,52.5x,628.7x,192.2x,187.8x,175.0,176.3,105.9%,148.2%,SME
179,Yash Optics & Lens,93.8,232.4,08 Apr `24,53.1 Cr,₹ 81,9.5x,130.4x,43.0x,39.4x,90.0,92.7,11.1%,15.9%,SME
180,Jay Kailash Namkeen,59.5,29.7,08 Apr `24,11.9 Cr,₹ 73,2.3x,54.6x,51.0x,38.0x,85.0,80.8,16.4%,-18.5%,SME
181,K2 Infragen,64.0,80.8,08 Apr `24,40.5 Cr,₹ 119,12.0x,147.1x,52.3x,46.4x,167.0,173.3,40.3%,-46.2%,SME
182,TAC Infosec,855.0,896.0,05 Apr `24,30.0 Cr,₹ 106,75.1x,1022.0x,576.3x,392.6x,290.0,304.5,173.6%,706.6%,SME
183,Radiowalla Network,62.6,44.1,05 Apr `24,14.3 Cr,₹ 76,46.1x,646.3x,463.1x,282.1x,120.2,126.2,58.1%,-17.6%,SME
184,Trust Fintech,60.4,143.8,04 Apr `24,63.5 Cr,₹ 101,34.7x,325.1x,99.7x,101.0x,143.3,150.4,41.8%,-40.3%,SME
185,Aspire & Innovative,28.6,43.3,03 Apr `24,22.0 Cr,₹ 54,2.8x,34.5x,21.8x,14.2x,56.5,59.3,4.6%,-47.1%,SME
186,Blue Pebble,187.5,76.5,03 Apr `24,18.1 Cr,₹ 168,11.5x,129.8x,77.4x,52.3x,199.0,208.9,18.4%,11.6%,SME
187,Vruddhi Engineering,213.0,53.8,03 Apr `24,4.8 Cr,₹ 70,1.1x,28.1x,20.1x,12.7x,71.0,74.5,1.4%,204.3%,SME
188,Gconnect Logitech ,23.6,8.8,03 Apr `24,5.6 Cr,₹ 40,-,40.8x,67.9x,54.4x,42.0,44.1,5.0%,-40.9%,SME
189,Naman In-Store,107.0,139.8,02 Apr `24,25.4 Cr,₹ 89,58.3x,703.0x,436.9x,287.5x,125.0,118.8,40.5%,20.2%,SME
190,Vishwas Agri Seeds,60.5,60.5,01 Apr `24,25.8 Cr,₹ 86,-,12.2x,11.0x,11.6x,85.0,83.6,-1.2%,-29.6%,SME
191,Omfurn,99.5,117.2,28 Mar `24,27.0 Cr,₹ 75,0.8x,3.8x,7.1x,3.4x,76.6,76.6,2.1%,32.7%,SME
192,Chatha Foods,101.0,243.2,27 Mar `24,34.0 Cr,₹ 56,8.5x,33.2x,14.6x,18.0x,73.0,76.7,30.4%,80.4%,SME
193,KP Green Engineering,529.0,2645.0,22 Mar `24,189.5 Cr,₹ 144,31.9x,36.0x,20.1x,27.5x,200.0,210.0,38.9%,267.4%,SME
194,Enfuse Solutions,218.0,192.9,22 Mar `24,22.4 Cr,₹ 96,53.0x,1266.9x,329.3x,331.8x,115.0,115.5,19.8%,127.1%,SME
195,Enser Communications,17.4,151.2,22 Mar `24,16.2 Cr,₹ 70,-,3.6x,10.4x,7.0x,72.0,70.1,2.9%,-50.4%,SME
196,AVP Infracon,187.8,469.1,20 Mar `24,52.3 Cr,₹ 75,0.5x,57.5x,27.6x,18.5x,79.0,75.0,5.3%,150.4%,SME
197,Signoria Creation,107.0,50.9,19 Mar `24,9.3 Cr,₹ 65,41.9x,1962.0x,888.2x,626.1x,131.0,137.6,101.5%,64.6%,SME
198,Royal Sense,211.0,112.9,19 Mar `24,9.9 Cr,₹ 68,-,8.9x,6.5x,7.7x,129.2,122.7,90.0%,210.3%,SME
199,Pratham EPC Projects,142.7,259.8,18 Mar `24,36.0 Cr,₹ 75,37.3x,426.6x,238.5x,166.1x,113.3,119.0,51.1%,90.2%,SME
200,Pune E-Stock Broking,197.0,308.3,15 Mar `24,38.2 Cr,₹ 83,123.0x,357.5x,338.9x,296.6x,130.0,133.2,56.6%,137.3%,SME
201,Shree Karni Fabcom,567.1,409.9,14 Mar `24,42.5 Cr,₹ 227,60.0x,614.0x,439.1x,275.8x,260.0,273.0,14.5%,149.8%,SME
202,Koura Fine Jewelry,43.5,15.7,14 Mar `24,5.5 Cr,₹ 55,-,353.3x,1010.3x,681.8x,75.0,78.6,36.4%,-20.9%,SME
203,Sona Machinery,78.0,107.0,13 Mar `24,51.8 Cr,₹ 143,68.9x,737.7x,312.2x,254.4x,125.0,131.3,-12.6%,-45.5%,SME
204,V R Infraspace,220.0,195.4,12 Mar `24,20.4 Cr,₹ 85,-,81.3x,91.2x,86.3x,90.0,87.4,5.9%,158.8%,SME
205,MVK Agro Food ,224.3,347.4,07 Mar `24,65.9 Cr,₹ 120,-,3.8x,12.5x,8.1x,79.0,83.0,-34.2%,86.9%,SME
206,Purv Flexipack,73.0,153.2,05 Mar `24,40.2 Cr,₹ 71,79.9x,938.9x,589.1x,386.9x,260.0,247.0,266.2%,2.8%,SME
207,Owais Metal & Mineral,532.2,967.7,04 Mar `24,42.7 Cr,₹ 87,47.5x,428.1x,339.9x,206.9x,250.0,262.5,187.4%,511.7%,SME
208,Sadhav Shipping,120.9,173.5,01 Mar `24,38.2 Cr,₹ 95,-,175.7x,65.8x,120.7x,135.0,141.8,42.1%,27.3%,SME
209,Zenith Drugs,69.2,118.6,27 Feb `24,40.7 Cr,₹ 79,35.6x,309.0x,116.2x,104.8x,110.0,105.2,39.2%,-12.5%,SME
210,Deem Roll-Tech,55.0,45.9,27 Feb `24,29.3 Cr,₹ 129,-,296.4x,171.4x,233.9x,200.0,209.7,55.0%,-57.4%,SME
211,Kalahridhaan Trendz,7.8,13.3,23 Feb `24,22.5 Cr,₹ 45,-,6.5x,9.8x,8.2x,47.1,49.5,4.8%,-82.8%,SME
212,Thaai Casting,108.3,250.4,23 Feb `24,47.2 Cr,₹ 77,76.0x,960.4x,467.9x,345.9x,185.9,195.2,141.4%,40.6%,SME
213,Interiors & More,510.0,356.8,23 Feb `24,42.0 Cr,₹ 227,1.9x,40.8x,10.5x,10.8x,270.0,283.5,18.9%,124.7%,SME
214,Esconet Technologies,184.3,241.3,23 Feb `24,28.2 Cr,₹ 84,82.6x,1151.4x,734.8x,471.2x,290.0,275.5,245.2%,119.4%,SME
215,Atmastco,222.5,550.3,23 Feb `24,56.3 Cr,₹ 77,-,14.4x,18.4x,16.4x,91.0,95.5,18.2%,189.0%,SME
216,Wise Travel,187.9,447.5,19 Feb `24,94.7 Cr,₹ 147,54.6x,481.4x,139.1x,148.2x,195.0,204.8,32.6%,27.9%,SME
217,Polysil Irrigation ,105.7,237.9,16 Feb `24,17.4 Cr,₹ 54,-,2.1x,11.0x,6.6x,56.0,54.3,3.7%,95.7%,SME
218,Alpex Solar,1260.0,3083.6,15 Feb `24,74.5 Cr,₹ 115,75.2x,668.1x,467.6x,301.4x,329.0,345.4,186.1%,995.6%,SME
219,Rudra Gas Enterprise,98.0,81.7,15 Feb `24,14.2 Cr,₹ 63,-,281.9x,383.5x,332.7x,119.7,125.7,90.0%,55.6%,SME
220,Italian Edibles,37.0,54.6,12 Feb `24,26.7 Cr,₹ 68,-,168.4x,114.5x,141.4x,55.0,57.8,-19.1%,-45.7%,SME
221,Gabriel Pet Straps,248.0,138.8,07 Feb `24,8.1 Cr,₹ 101,-,349.0x,116.1x,232.6x,115.0,120.8,13.9%,145.5%,SME
222,Baweja Studios,73.3,135.0,06 Feb `24,97.2 Cr,₹ 180,0.2x,3.6x,5.4x,2.5x,183.0,173.8,1.7%,-59.3%,SME
223,Megatherm Induction,324.0,610.4,05 Feb `24,53.9 Cr,₹ 108,55.8x,408.5x,266.3x,182.4x,198.0,207.9,83.3%,200.0%,SME
224,Mayank Cattle Food,222.0,119.9,05 Feb `24,19.4 Cr,₹ 108,-,5.7x,11.2x,8.4x,116.0,120.0,7.4%,105.6%,SME
225,Harshdeep Hortico,93.5,150.5,05 Feb `24,19.1 Cr,₹ 45,54.2x,134.4x,98.3x,96.4x,70.0,66.5,55.6%,107.8%,SME
226,Fonebox Retail,94.9,97.4,02 Feb `24,20.4 Cr,₹ 70,74.0x,1091.7x,1178.7x,613.3x,200.0,210.0,185.7%,35.6%,SME
227,delaPlex,146.0,133.0,02 Feb `24,46.1 Cr,₹ 192,48.2x,445.6x,212.2x,165.2x,309.0,324.4,60.9%,-24.0%,SME
228,DocMode Health ,49.6,15.6,02 Feb `24,6.7 Cr,₹ 79,-,185.1x,218.7x,201.9x,190.3,180.8,140.8%,-37.2%,SME
229,Brisk Technovision,101.5,20.3,31 Jan `24,12.5 Cr,₹ 156,-,55.5x,34.1x,44.8x,175.0,183.8,12.2%,-34.9%,SME
230,Konstelec Engineers,66.7,100.6,30 Jan `24,28.7 Cr,₹ 70,60.4x,561.5x,581.3x,317.9x,210.0,220.5,200.0%,-4.8%,SME
231,Addictive Learning,148.6,236.4,30 Jan `24,60.2 Cr,₹ 140,59.5x,533.7x,387.3x,245.3x,310.0,294.5,121.4%,6.1%,SME
232,Euphoria Infotech,55.9,16.2,30 Jan `24,9.6 Cr,₹ 100,413.3x,238.0x,426.6x,364.7x,190.0,181.5,90.0%,-44.1%,SME
233,Qualitek Labs,314.0,313.4,29 Jan `24,19.6 Cr,₹ 100,-,74.8x,37.2x,56.0x,190.0,199.5,90.0%,214.0%,SME
234,Maxposure,60.0,136.4,23 Jan `24,20.3 Cr,₹ 33,83.4x,2574.0x,1363.1x,904.9x,145.0,137.8,339.4%,81.8%,SME
235,Shree Marutinandan Tubes,118.1,40.9,19 Jan `24,14.3 Cr,₹ 143,-,33.0x,56.7x,44.9x,200.0,210.0,39.9%,-17.4%,SME
236,Australian Premium Solar,556.9,1118.7,18 Jan `24,28.1 Cr,₹ 54,56.9x,1028.2x,711.9x,431.8x,140.0,147.0,159.3%,931.2%,SME
237,New Swan Multitech,74.9,142.5,18 Jan `24,33.1 Cr,₹ 66,110.7x,544.8x,388.2x,356.9x,125.4,131.7,90.0%,13.5%,SME
238,IBL Finance,64.5,159.5,16 Jan `24,33.4 Cr,₹ 51,-,9.6x,22.8x,16.2x,56.0,58.8,9.8%,26.5%,SME
239,Kaushalya Logistics,77.0,142.7,08 Jan `24,36.6 Cr,₹ 75,51.3x,1110.0x,491.4x,364.2x,100.0,105.0,33.3%,2.7%,SME
240,Kay Cee Energy ,362.0,442.5,05 Jan `24,15.9 Cr,₹ 54,66.0x,2184.5x,1711.0x,959.5x,252.0,239.4,366.7%,570.4%,SME
241,Akanksha Power,101.0,197.8,03 Jan `24,27.5 Cr,₹ 55,20.4x,316.8x,146.3x,108.9x,62.0,65.1,12.7%,83.6%,SME
242,HRH Next Services,39.5,52.1,03 Jan `24,9.6 Cr,₹ 36,-,63.7x,60.3x,62.0x,41.0,43.0,13.9%,9.6%,SME
243,Shri Balaji Valve ,122.5,100.0,03 Jan `24,21.6 Cr,₹ 100,70.0x,800.1x,169.9x,276.5x,190.0,199.5,90.0%,22.5%,SME
244,Manoj Ceramic,157.0,234.0,03 Jan `24,14.5 Cr,₹ 62,-,7.0x,10.2x,8.6x,82.0,77.9,32.3%,153.2%,SME
245,AIK Pipes ,69.1,44.0,02 Jan `24,15.0 Cr,₹ 89,-,53.5x,29.4x,41.4x,100.0,105.0,12.4%,-22.3%,SME
246,Sameera Agro ,30.9,183.7,01 Jan `24,62.6 Cr,₹ 180,-,1.7x,3.9x,2.8x,180.0,171.0,0.0%,-14.3%,SME
0,Monika Alcobev,280.0,600.6,23 Jul `25,165.6 Cr,₹ 286,1.3x,12.1x,3.8x,3.8x,288.0,288.0,0.7%,-2.1%,SME
1,Spunweb Nonwoven,147.7,356.0,21 Jul `25,61.0 Cr,₹ 96,87.7x,484.0x,333.9x,233.3x,151.0,158.6,57.3%,53.9%,SME
2,Asston Pharmaceuticals,121.3,103.2,16 Jul `25,27.6 Cr,₹ 123,45.4x,472.5x,228.5x,173.5x,119.0,125.0,-3.3%,-1.4%,SME
3,GLEN Industries,131.0,315.2,15 Jul `25,63.0 Cr,₹ 97,98.7x,612.9x,288.6x,242.3x,157.0,152.4,61.9%,35.0%,SME
4,Chemkart,238.8,288.9,14 Jul `25,80.1 Cr,₹ 248,7.2x,8.0x,2.2x,5.6x,250.0,259.4,0.8%,-3.7%,SME
5,Smarten Power Systems,150.0,285.0,14 Jul `25,50.0 Cr,₹ 100,-,6.0x,4.5x,5.3x,144.0,151.2,44.0%,50.0%,SME
6,Meta Infotech,196.5,371.0,11 Jul `25,80.2 Cr,₹ 161,77.3x,405.2x,159.7x,155.3x,225.0,236.3,39.8%,22.1%,SME
7,Happy Square Outsourcing,66.3,77.0,10 Jul `25,24.3 Cr,₹ 76,3.6x,3.6x,2.7x,3.3x,77.0,80.8,1.3%,-12.7%,SME
8,Cryogenic OGS,135.5,193.5,10 Jul `25,17.8 Cr,₹ 47,111.1x,1537.6x,1029.4x,646.5x,89.3,93.8,90.0%,188.3%,SME
9,Cedaar Textile,120.0,166.5,07 Jul `25,60.9 Cr,₹ 140,10.8x,12.6x,11.4x,11.3x,119.0,113.0,-15.0%,-14.3%,SME
10,Silky Overseas,120.0,76.4,07 Jul `25,30.7 Cr,₹ 161,28.1x,481.6x,133.1x,132.8x,171.0,162.4,6.2%,-25.5%,SME
11,Pushpa Jewellers,134.7,326.2,07 Jul `25,98.7 Cr,₹ 147,0.9x,3.2x,4.1x,2.4x,112.0,117.6,-23.8%,-8.4%,SME
12,Marc Loire Fashions,66.1,46.9,07 Jul `25,21.0 Cr,₹ 100,-,1.6x,3.4x,2.5x,80.0,76.0,-20.0%,-33.9%,SME
13,Vandan Foods,47.8,40.0,07 Jul `25,30.4 Cr,₹ 115,-,0.5x,2.9x,1.7x,125.0,118.8,8.7%,-58.5%,SME
14,Neetu Yoshi,129.0,500.7,04 Jul `25,77.0 Cr,₹ 75,51.2x,341.6x,121.0x,119.2x,105.0,110.3,40.0%,72.0%,SME
15,Adcounty Media,125.3,282.0,04 Jul `25,50.7 Cr,₹ 85,72.2x,732.4x,302.1x,251.7x,130.0,136.5,52.9%,47.4%,SME
16,Ace Alpha Tech,101.0,177.3,03 Jul `25,32.2 Cr,₹ 69,35.2x,225.5x,121.0x,93.8x,81.0,85.0,17.4%,46.4%,SME
17,PRO FX Tech,110.8,193.9,03 Jul `25,40.3 Cr,₹ 87,11.7x,75.2x,18.7x,23.6x,95.0,99.8,9.2%,27.4%,SME
18,Valencia,42.0,54.6,03 Jul `25,49.0 Cr,₹ 110,1.2x,1.3x,1.3x,1.3x,88.0,83.6,-20.0%,-61.8%,SME
19,Moving Media Entertainment,77.0,144.8,03 Jul `25,43.4 Cr,₹ 70,21.7x,126.0x,60.1x,50.8x,71.0,74.5,1.4%,10.0%,SME
