,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
813,Z-Tech,345.38 x Oversubscribed,"₹124,800",1200,₹352.7 M - ₹373.0 M,3.4 M,₹104 - ₹110,60.75 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: ZTECH
814,Beacon Trusteeship,434.41 x Oversubscribed,"₹114,000",2000,₹308.9 M - ₹325.2 M,5.4 M,₹57 - ₹60,44.76 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: BEACON
815,Vilas Transcore,195.26 x Oversubscribed,"₹139,000",1000,₹900.7 M - ₹952.6 M,6.5 M,₹139 - ₹147,73.17 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,NSE: VILAS
816,GSM Foils,240.4 x Oversubscribed,"₹128,000",4000,₹110.1 M,3.4 M,₹32,73.14 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,NSE: GSMFOILS
817,Awfis Space Solutions,108.56 x Oversubscribed,"₹14,196",39,"₹5,692.1 M - ₹5,989.3 M",15.6 M,₹364 - ₹383,21.82 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : SPECIAL CONSUMER SERVICES,NSE: AWFIS | BSE: 544181
818,HOAC Foods,1834.01 x Oversubscribed,"₹144,000",3000,₹55.4 M,1.2 M,₹48,69.94 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,NSE: HOACFOODS
819,Rulka Electricals,629.42 x Oversubscribed,"₹133,800",600,₹250.5 M - ₹264.0 M,1.1 M,₹223 - ₹235,62.62 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: RULKA
820,Go Digit Insurance,9.6 x Oversubscribed,"₹14,190",55,"₹24,800.7 M - ₹26,146.5 M",96.1 M,₹258 - ₹272,73.58 %,SECTOR : BANKING AND FINANCE,INDUSTRY : GENERAL INSURANCE,NSE: GODIGIT | BSE: 544179
821,Quest Laboratories,79.29 x Oversubscribed,"₹111,600",1200,₹413.8 M - ₹431.6 M,4.4 M,₹93 - ₹97,65.83 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: QUESTLAB
822,Indian Emulsifiers,427.95 x Oversubscribed,"₹125,000",1000,₹401.4 M - ₹423.9 M,3.2 M,₹125 - ₹132,48.11 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: IEML
823,ABS Marine Services,133.1 x Oversubscribed,"₹140,000",1000,₹917.0 M - ₹962.9 M,6.5 M,₹140 - ₹147,63.42 %,SECTOR : TRANSPORTATION,INDUSTRY : MARINE PORT & SERVICES,NSE: ABSMARINE
824,Veritaas Advertising,581.4 x Oversubscribed,"₹130,800",1200,₹81.1 M - ₹84.8 M,744.0 K,₹109 - ₹114,65.36 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,NSE: VERITAAS
825,Mandeep Auto,72.27 x Oversubscribed,"₹134,000",2000,₹252.5 M,3.8 M,₹67,63.53 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: MANDEEP
826,Premier Roadlines,109.35 x Oversubscribed,"₹126,000",2000,₹379.5 M - ₹403.6 M,6.0 M,₹63 - ₹67,73.65 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: PRLIND
827,Aztec Fluids & Machinery,203.03 x Oversubscribed,"₹126,000",2000,₹226.8 M - ₹241.2 M,3.6 M,₹63 - ₹67,73.53 %,SECTOR : HARDWARE TECHNOLOGY & EQUIPMENT,INDUSTRY : COMPUTER HARDWARE,BSE: 544177
828,Piotex Industries,102.05 x Oversubscribed,"₹112,800",1200,₹144.7 M,1.5 M,₹94,65.95 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,BSE: 544178
829,Energy-Mission,298.19 x Oversubscribed,"₹131,000",1000,₹390.6 M - ₹411.5 M,3.0 M,₹131 - ₹138,73.67 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: EMMIL
830,TBO Tek,86.7 x Oversubscribed,"₹14,000",16,"₹14,749.5 M - ₹15,508.1 M",16.9 M,₹875 - ₹920,37.69 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,NSE: TBOTEK | BSE: 544174
831,Aadhar Housing,25.49 x Oversubscribed,"₹14,100",47,"₹28,571.4 M - ₹30,000.0 M",95.2 M,₹300 - ₹315,76.48 %,SECTOR : BANKING AND FINANCE,INDUSTRY : HOUSING FINANCE,NSE: AADHARHFC | BSE: 544176
832,Silkflex Polymers,32.83 x Oversubscribed,"₹104,000",2000,₹181.1 M,3.5 M,₹52,69.89 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : FURNITURE-FURNISHING,NSE: SILKFLEX
833,TGIF Agribusiness,35.12 x Oversubscribed,"₹111,600",1200,₹63.9 M,687.6 K,₹93,73.28 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,BSE: 544175
834,Refractory Shapes,237.11 x Oversubscribed,"₹108,000",4000,₹162.0 M - ₹186.0 M,6.0 M,₹27 - ₹31,72.48 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL GOODS,NSE: REFRACTORY
835,Winsol Engineers,635.71 x Oversubscribed,"₹113,600",1600,₹221.2 M - ₹233.6 M,3.1 M,₹71 - ₹75,72.99 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: WINSOL
836,Finelistings Tech,35.52 x Oversubscribed,"₹123,000",1000,₹135.3 M,1.1 M,₹123,49.98 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET & CATALOGUE RETAIL,BSE: 544173
837,Indegene,69.91 x Oversubscribed,"₹14,190",33,"₹17,521.2 M - ₹18,417.6 M",40.7 M,₹430 - ₹452,-,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: INDGN | BSE: 544172
838,Slone Infosystems,616.14 x Oversubscribed,"₹126,400",1600,₹110.6 M,1.4 M,₹79,73.01 %,SECTOR : HARDWARE TECHNOLOGY & EQUIPMENT,INDUSTRY : COMPUTER HARDWARE,NSE: SLONE
839,Storage Technologies,258.61 x Oversubscribed,"₹116,800",1600,₹280.3 M - ₹299.5 M,3.8 M,₹73 - ₹78,70.09 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,BSE: 544171
840,Amkay Products,693.44 x Oversubscribed,"₹104,000",2000,₹119.2 M - ₹126.1 M,2.3 M,₹52 - ₹55,73.44 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : HEALTHCARE SUPPLIES,BSE: 544169
841,Sai Swami Metals,515.94 x Oversubscribed,"₹120,000",2000,₹150.0 M,2.5 M,₹60,62.15 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,BSE: 544170
842,JNK,28.13 x Oversubscribed,"₹14,220",36,"₹6,181.7 M - ₹6,494.7 M",15.6 M,₹395 - ₹415,82.27 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: JNKINDIA | BSE: 544167
843,Varyaa Creations,3.45 x Oversubscribed,"₹150,000",1000,₹201.0 M,1.3 M,₹150,72.03 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 544168
844,Emmforce Autotech,338.87 x Oversubscribed,"₹111,600",1200,₹511.5 M - ₹539.0 M,5.5 M,₹93 - ₹98,73.17 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,BSE: 544166
845,Shivam Chemicals,6.32 x Oversubscribed,"₹132,000",3000,₹201.8 M,4.6 M,₹44,73 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,BSE: 544165
846,Faalcon Concepts,67.75 x Oversubscribed,"₹124,000",2000,₹120.9 M,1.9 M,₹62,65.56 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 544164
847,Vodafone Idea,6.36 x Oversubscribed,"₹12,980",1298,"₹163,636.4 M - ₹180,000.0 M","16,363.6 M",₹10 - ₹11,36.87 %,SECTOR : TELECOM SERVICES,INDUSTRY : TELECOM SERVICES,NSE: IDEA | BSE: 532822
848,Grill Splendour Services,8.29 x Oversubscribed,"₹144,000",1200,₹164.7 M,1.4 M,₹120,36.64 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : RESTAURANTS,NSE: BIRDYS
849,Ramdevbaba Solvent,116.93 x Oversubscribed,"₹128,000",1600,₹473.1 M - ₹502.7 M,5.9 M,₹80 - ₹85,61.09 %,SECTOR : FMCG,INDUSTRY : EDIBLE OILS,NSE: RBS
850,Greenhitech Ventures,729.67 x Oversubscribed,"₹150,000",3000,₹63.0 M,1.3 M,₹50,70.64 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 544163
851,DCG Cables & Wires,15.83 x Oversubscribed,"₹120,000",1200,₹499.9 M,5.0 M,₹100,72.45 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: DCG
852,Teerth Gopicon,67.23 x Oversubscribed,"₹133,200",1200,₹444.0 M,4.0 M,₹111,64.34 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: TGL
853,Bharti Hexacom,29.88 x Oversubscribed,"₹14,092",26,"₹40,650.0 M - ₹42,750.0 M",75.0 M,₹542 - ₹570,55 %,SECTOR : TELECOM SERVICES,INDUSTRY : OTHER TELECOM SERVICES,NSE: BHARTIHEXA | BSE: 544162
854,Aluwind Architectural,7.62 x Oversubscribed,"₹135,000",3000,₹297.0 M,6.6 M,₹45,72.13 %,SECTOR : METALS & MINING,INDUSTRY : ALUMINIUM AND ALUMINIUM PRODUCTS,NSE: ALUWIND
855,Creative Graphics,187.82 x Oversubscribed,"₹128,000",1600,₹512.0 M - ₹544.0 M,6.4 M,₹80 - ₹85,67.83 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY PRINTING/STATIONERY,NSE: CGRAPHICS
856,Yash Optics & Lens,39.37 x Oversubscribed,"₹120,000",1600,₹492.1 M - ₹531.5 M,6.6 M,₹75 - ₹81,71.63 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: YASHOPTICS
857,Jay Kailash Namkeen,38.03 x Oversubscribed,"₹112,000",1600,₹114.4 M - ₹119.3 M,1.6 M,₹70 - ₹73,48.33 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,BSE: 544160
858,K2 Infragen,46.35 x Oversubscribed,"₹133,200",1200,₹378.2 M - ₹405.4 M,3.4 M,₹111 - ₹119,40.36 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: K2INFRA
859,TAC Infosec,392.56 x Oversubscribed,"₹120,000",1200,₹283.0 M - ₹299.9 M,2.8 M,₹100 - ₹106,56.94 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: TAC
860,Radiowalla Network,282.08 x Oversubscribed,"₹115,200",1600,₹135.0 M - ₹142.5 M,1.9 M,₹72 - ₹76,40.95 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,NSE: RADIOWALLA
861,Trust Fintech,101.01 x Oversubscribed,"₹114,000",1200,₹596.8 M - ₹634.5 M,6.3 M,₹95 - ₹101,68.85 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: TRUST
862,SRM Contractors,86.57 x Oversubscribed,"₹14,000",70,"₹1,240.0 M - ₹1,302.0 M",6.2 M,₹200 - ₹210,72.92 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: SRM | BSE: 544158 | ASM
863,Aspire & Innovative,14.18 x Oversubscribed,"₹102,000",2000,₹207.5 M - ₹219.7 M,4.1 M,₹51 - ₹54,72.35 %,SECTOR : CONSUMER DURABLES,INDUSTRY : HOUSEHOLD APPLIANCES,NSE: ASPIRE
864,Blue Pebble,52.32 x Oversubscribed,"₹127,200",800,₹171.7 M - ₹181.4 M,1.1 M,₹159 - ₹168,73.53 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: BLUEPEBBLE
865,Vruddhi Engineering,12.67 x Oversubscribed,"₹132,000",2000,₹44.9 M - ₹47.6 M,680.0 K,₹66 - ₹70,72.05 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,BSE: 544157
866,Gconnect Logitech,54.37 x Oversubscribed,"₹120,000",3000,₹56.0 M,1.4 M,₹40,47.85 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,BSE: 544156 | GSM
867,Naman In-Store,287.49 x Oversubscribed,"₹134,400",1600,₹239.2 M - ₹253.5 M,2.8 M,₹84 - ₹89,73 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: NAMAN
868,Vishwas Agri Seeds,11.62 x Oversubscribed,"₹137,600",1600,₹258.0 M,3.0 M,₹86,70 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: VISHWAS
869,Omfurn,3.42 x Oversubscribed,"₹170,400",2400,₹255.6 M - ₹270.0 M,3.6 M,₹71 - ₹75,50.96 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : FURNITURE-FURNISHING,NSE: OMFURN
870,Chatha Foods,18 x Oversubscribed,"₹106,000",2000,₹316.0 M - ₹333.9 M,6.0 M,₹53 - ₹56,59.8 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,BSE: 544151
871,KP Green Engineering,27.51 x Oversubscribed,"₹137,000",1000,"₹1,802.9 M - ₹1,895.0 M",13.2 M,₹137 - ₹144,66.59 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 544150
872,Enfuse Solutions,331.81 x Oversubscribed,"₹109,200",1200,₹212.7 M - ₹224.4 M,2.3 M,₹91 - ₹96,73.58 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : DATA PROCESSING SERVICES,NSE: ENFUSE
873,Enser Communications,6.96 x Oversubscribed,"₹140,000",2000,₹161.7 M,2.3 M,₹70,66.24 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : BPO/KPO,NSE: ENSER
874,Krystal Integrated,13.21 x Oversubscribed,"₹13,600",20,"₹2,854.3 M - ₹3,001.2 M",4.2 M,₹680 - ₹715,69.96 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: KRYSTAL | BSE: 544149
875,AVP Infracon,18.53 x Oversubscribed,"₹113,600",1600,₹495.5 M - ₹523.4 M,7.0 M,₹71 - ₹75,62.33 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : ROADS & HIGHWAYS,NSE: AVPINFRA
876,Popular Vehicles,1.23 x Oversubscribed,"₹14,000",50,"₹5,709.7 M - ₹6,015.5 M",20.4 M,₹280 - ₹295,44.44 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,NSE: PVSL | BSE: 544144
877,Signoria Creation,626.12 x Oversubscribed,"₹122,000",2000,₹87.1 M - ₹92.8 M,1.4 M,₹61 - ₹65,69.99 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: SIGNORIA
878,Royal Sense,7.69 x Oversubscribed,"₹136,000",2000,₹98.6 M,1.4 M,₹68,67.14 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : MEDICAL EQUIPMENT,BSE: 544143 | ASM
879,Pratham EPC Projects,166.13 x Oversubscribed,"₹113,600",1600,₹340.8 M - ₹360.0 M,4.8 M,₹71 - ₹75,72.97 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: PRATHAM
880,Pune E-Stock Broking,296.65 x Oversubscribed,"₹124,800",1600,₹359.3 M - ₹382.3 M,4.6 M,₹78 - ₹83,51.34 %,SECTOR : BANKING AND FINANCE,INDUSTRY : CAPITAL MARKETS,BSE: 544141
881,Gopal Snacks,9.02 x Oversubscribed,"₹14,097",37,"₹6,175.8 M - ₹6,500.0 M",16.2 M,₹381 - ₹401,80.49 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,NSE: GOPAL | BSE: 544140
882,Shree Karni Fabcom,275.78 x Oversubscribed,"₹132,000",600,₹411.8 M - ₹424.9 M,1.9 M,₹220 - ₹227,70.7 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: SHREEKARNI
883,Koura Fine Jewelry,681.77 x Oversubscribed,"₹110,000",2000,₹55.0 M,1.0 M,₹55,72.23 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 544139
884,J G Chemicals,27.78 x Oversubscribed,"₹14,070",67,"₹2,386.9 M - ₹2,511.9 M",11.4 M,₹210 - ₹221,80.95 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: JGCHEM | BSE: 544138
885,Sona Machinery,254.36 x Oversubscribed,"₹136,000",1000,₹492.9 M - ₹518.2 M,3.6 M,₹136 - ₹143,73.59 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: SONAMAC
886,R K Swamy,25.94 x Oversubscribed,"₹13,500",50,"₹3,970.9 M - ₹4,235.6 M",14.7 M,₹270 - ₹288,55.91 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,NSE: RKSWAMY | BSE: 544136
887,Bharat Highways InvIT,8 x Oversubscribed,"₹14,700",150,"₹24,500.0 M - ₹25,000.0 M",250.0 M,₹98 - ₹100,-,SECTOR : REALTY,INDUSTRY : REITS-INVITS,NSE: INDUSINVIT | BSE: 544137
888,V R Infraspace,86.27 x Oversubscribed,"₹136,000",1600,₹204.0 M,2.4 M,₹85,72.97 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: VR
889,Mukka Proteins,136.99 x Oversubscribed,"₹13,910",535,"₹2,080.0 M - ₹2,240.0 M",80.0 M,₹26 - ₹28,73.33 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,NSE: MUKKA | BSE: 544135
890,MVK Agro Food,8.14 x Oversubscribed,"₹144,000",1200,₹658.8 M,5.5 M,₹120,64.56 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : SUGAR,NSE: MVKAGRO
891,Platinum Industries,99.03 x Oversubscribed,"₹14,094",87,"₹2,229.3 M - ₹2,353.2 M",13.8 M,₹162 - ₹171,71 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: PLATIND | BSE: 544134
892,Exicom Tele-Systems,129.54 x Oversubscribed,"₹13,500",100,"₹4,240.7 M - ₹4,460.6 M",31.4 M,₹135 - ₹142,68.89 %,SECTOR : UTILITIES,INDUSTRY : POWER - ELECTRIC UTILITIES,NSE: EXICOM | BSE: 544133
893,Purv Flexipack,386.95 x Oversubscribed,"₹112,000",1600,₹396.5 M - ₹402.1 M,5.7 M,₹70 - ₹71,67.29 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,NSE: PURVFLEXI
894,Owais Metal & Mineral,206.9 x Oversubscribed,"₹132,800",1600,₹407.3 M - ₹426.9 M,4.9 M,₹83 - ₹87,73.01 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL/INTERM.PRODUCTS,NSE: OWAIS
895,Sadhav Shipping,120.72 x Oversubscribed,"₹114,000",1200,₹381.8 M,4.0 M,₹95,69.44 %,SECTOR : TRANSPORTATION,INDUSTRY : SHIPPING,NSE: SADHAV
896,GPT Healthcare,8.52 x Oversubscribed,"₹14,160",80,"₹4,997.3 M - ₹5,251.4 M",28.2 M,₹177 - ₹186,65.57 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,NSE: GPTHEALTH | BSE: 544131
897,Juniper Hotels,2.08 x Oversubscribed,"₹13,680",40,"₹17,100.0 M - ₹18,000.0 M",50.0 M,₹342 - ₹360,77.53 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,NSE: JUNIPER | BSE: 544129
898,Zenith Drugs,104.84 x Oversubscribed,"₹120,000",1600,₹386.2 M - ₹406.8 M,5.1 M,₹75 - ₹79,69.98 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: ZENITHDRUG
899,Deem Roll-Tech,233.9 x Oversubscribed,"₹129,000",1000,₹292.6 M,2.3 M,₹129,67.1 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: DEEM
900,Kalahridhaan Trendz,8.16 x Oversubscribed,"₹135,000",3000,₹224.9 M,5.0 M,₹45,68.24 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: KTL
901,Thaai Casting,345.85 x Oversubscribed,"₹116,800",1600,₹447.5 M - ₹472.0 M,6.1 M,₹73 - ₹77,63.58 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL/INTERM.PRODUCTS,NSE: TCL
902,Interiors & More,10.75 x Oversubscribed,"₹129,600",600,₹399.7 M - ₹420.0 M,1.9 M,₹216 - ₹227,69.93 %,SECTOR : CONSUMER DURABLES,INDUSTRY : HOUSEHOLD PRODUCTS,NSE: INM
903,Esconet Technologies,471.18 x Oversubscribed,"₹128,000",1600,₹268.8 M - ₹282.2 M,3.4 M,₹80 - ₹84,64.94 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: ESCONET
904,Atmastco,16.41 x Oversubscribed,"₹123,200",1600,₹562.5 M,7.3 M,₹77,68.43 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: ATMASTCO
905,Vibhor Steel Tubes,298.86 x Oversubscribed,"₹13,959",99,₹673.9 M - ₹721.7 M,4.8 M,₹141 - ₹151,73.48 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: VSTL | BSE: 544124
906,Wise Travel,148.17 x Oversubscribed,"₹140,000",1000,₹901.7 M - ₹946.8 M,6.4 M,₹140 - ₹147,69.76 %,SECTOR : TRANSPORTATION,INDUSTRY : TRANSPORT RELATED SERVICES,NSE: WTICAB
907,Entero Healthcare,1.53 x Oversubscribed,"₹13,145",11,"₹15,198.7 M - ₹16,000.0 M",12.7 M,₹1195 - ₹1258,52.05 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: ENTERO | BSE: 544122
908,Polysil Irrigation,6.57 x Oversubscribed,"₹108,000",2000,₹174.3 M,3.2 M,₹54,15.43 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: POLYSIL
909,Alpex Solar,301.45 x Oversubscribed,"₹130,800",1200,₹706.3 M - ₹745.2 M,6.5 M,₹109 - ₹115,68.76 %,SECTOR : UTILITIES,INDUSTRY : POWER - ELECTRIC UTILITIES,NSE: ALPEXSOLAR
910,Rudra Gas Enterprise,332.7 x Oversubscribed,"₹126,000",2000,₹141.6 M,2.2 M,₹63,73.04 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 544121
911,Rashi Peripherals,59.71 x Oversubscribed,"₹14,160",48,"₹5,691.3 M - ₹6,000.0 M",19.3 M,₹295 - ₹311,63.4 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: RPTECH | BSE: 544119
912,Jana Small Finance,18.5 x Oversubscribed,"₹14,148",36,"₹5,410.8 M - ₹5,700.0 M",13.8 M,₹393 - ₹414,20.05 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: JSFB | BSE: 544118
913,Capital Small Finance,4 x Oversubscribed,"₹14,240",32,"₹4,973.6 M - ₹5,230.7 M",11.2 M,₹445 - ₹468,15.38 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: CAPITALSFB | BSE: 544120
914,Apeejay Surrendra,59.66 x Oversubscribed,"₹14,112",96,"₹9,205.0 M - ₹9,706.0 M",62.6 M,₹147 - ₹155,66.23 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,NSE: PARKHOTELS | BSE: 544111
915,Italian Edibles,141.45 x Oversubscribed,"₹136,000",2000,₹266.6 M,3.9 M,₹68,73.47 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,NSE: ITALIANE
916,Gabriel Pet Straps,232.56 x Oversubscribed,"₹121,200",1200,₹80.6 M,798.0 K,₹101,69.85 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : FIBRES & PLASTICS,BSE: 544108
917,BLS E-Services,162.47 x Oversubscribed,"₹13,932",108,"₹2,970.9 M - ₹3,109.1 M",23.0 M,₹129 - ₹135,68.89 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: BLSE | BSE: 544107
918,Baweja Studios,2.53 x Oversubscribed,"₹136,000",800,₹918.0 M - ₹972.0 M,5.4 M,₹170 - ₹180,70.69 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: BAWEJA
919,Megatherm Induction,182.4 x Oversubscribed,"₹120,000",1200,₹499.2 M - ₹539.1 M,5.0 M,₹100 - ₹108,72.71 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: MEGATHERM
920,Mayank Cattle Food,8.44 x Oversubscribed,"₹129,600",1200,₹194.4 M,1.8 M,₹108,65 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,BSE: 544106
921,Harshdeep Hortico,96.36 x Oversubscribed,"₹126,000",3000,₹178.2 M - ₹190.9 M,4.2 M,₹42 - ₹45,71.72 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,BSE: 544105
